SampleName,SampleGroup,Replicate
BSB-WT_1,BSB-WT,BSB-WT_1
BSB-WT_2,BSB-WT,BSB-WT_2
BSB-WT_3,BSB-WT,BSB-WT_3
BSB-SG11_1,BSB-SG11,BSB-SG11_1
BSB-SG11_2,BSB-SG11,BSB-SG11_2
BSB-SG11_3,BSB-SG11,BSB-SG11_3
BSB-SG22_1,BSB-SG22,BSB-SG22_1
BSB-SG22_2,BSB-SG22,BSB-SG22_2
BSB-SG22_3,BSB-SG22,BSB-SG22_3
BSB-SG27_1,BSB-SG27,BSB-SG27_1
BSB-SG27_2,BSB-SG27,BSB-SG27_2
BSB-SG27_3,BSB-SG27,BSB-SG27_3
BSB-SG36_1,BSB-SG36,BSB-SG36_1
BSB-SG36_2,BSB-SG36,BSB-SG36_2
BSB-SG36_3,BSB-SG36,BSB-SG36_3
BSB-SG37_1,BSB-SG37,BSB-SG37_1
BSB-SG37_2,BSB-SG37,BSB-SG37_2
BSB-SG37_3,BSB-SG37,BSB-SG37_3
Cviolaceum-WT_1,Cviolaceum-WT,Cviolaceum-WT_1
Cviolaceum-WT_2,Cviolaceum-WT,Cviolaceum-WT_2
Cviolaceum-WT_3,Cviolaceum-WT,Cviolaceum-WT_3
Cviolaceum-cviI_1,Cviolaceum-cviI,Cviolaceum-cviI_1
Cviolaceum-cviI_2,Cviolaceum-cviI,Cviolaceum-cviI_2
Cviolaceum-cviI_3,Cviolaceum-cviI,Cviolaceum-cviI_3
Cviolaceum-cviIcviR_1,Cviolaceum-cviIcviR,Cviolaceum-cviIcviR_1
Cviolaceum-cviIcviR_2,Cviolaceum-cviIcviR,Cviolaceum-cviIcviR_2
Cviolaceum-cviIcviR_3,Cviolaceum-cviIcviR,Cviolaceum-cviIcviR_3
E8*_1,E8*,E8*_1
E8*_2,E8*,E8*_2
E8*_3,E8*,E8*_3
E8*-dTomato_1,E8*-dTomato,E8*-dTomato_1
E8*-dTomato_2,E8*-dTomato,E8*-dTomato_2
E8*-dTomato_3,E8*-dTomato,E8*-dTomato_3
LB_1,LB,LB_1
LB_2,LB,LB_2
LB_3,LB,LB_3
