SampleName,SampleGroup,Replicate
WT_1,WT,WT_1
WT_2,WT,WT_2
WT_3,WT,WT_3
WT_GFP_1,WT_GFP,WT_GFP_1
WT_GFP_2,WT_GFP,WT_GFP_2
WT_GFP_3,WT_GFP,WT_GFP_3
WT_RFP_1,WT_RFP,WT_RFP_1
WT_RFP_2,WT_RFP,WT_RFP_2
WT_RFP_3,WT_RFP,WT_RFP_3
E2_1,E2,E2_1
E2_2,E2,E2_2
E2_3,E2,E2_3
E2_GFP_1,E2_GFP,E2_GFP_1
E2_GFP_2,E2_GFP,E2_GFP_2
E2_GFP_3,E2_GFP,E2_GFP_3
E2_RFP_1,E2_RFP,E2_RFP_1
E2_RFP_2,E2_RFP,E2_RFP_2
E2_RFP_3,E2_RFP,E2_RFP_3
E7_1,E7,E7_1
E7_2,E7,E7_2
E7_3,E7,E7_3
E7_RFP_1,E7_RFP,E7_RFP_1
E7_RFP_2,E7_RFP,E7_RFP_2
E7_RFP_3,E7_RFP,E7_RFP_3
E8_1,E8,E8_1
E8_2,E8,E8_2
E8_3,E8,E8_3
E8_RFP_1,E8_RFP,E8_RFP_1
E8_RFP_2,E8_RFP,E8_RFP_2
E8_RFP_3,E8_RFP,E8_RFP_3
A_1,A,A_1
A_2,A,A_2
A_3,A,A_3
A_GFP_1,A_GFP,A_GFP_1
A_GFP_2,A_GFP,A_GFP_2
A_GFP_3,A_GFP,A_GFP_3
A_RFP_1,A_RFP,A_RFP_1
A_RFP_2,A_RFP,A_RFP_2
A_RFP_3,A_RFP,A_RFP_3
btuB_1,btuB,btuB_1
btuB_2,btuB,btuB_2
btuB_3,btuB,btuB_3
btuB_GFP_1,btuB_GFP,btuB_GFP_1
btuB_GFP_2,btuB_GFP,btuB_GFP_2
btuB_GFP_3,btuB_GFP,btuB_GFP_3
btuB_RFP_1,btuB_RFP,btuB_RFP_1
btuB_RFP_2,btuB_RFP,btuB_RFP_2
btuB_RFP_3,btuB_RFP,btuB_RFP_3
pC001_1,pC001,pC001_1
pC001_2,pC001,pC001_2
pC001_3,pC001,pC001_3
ImmE2_Ypet_1,ImmE2_Ypet,ImmE2_Ypet_1
ImmE2_Ypet_2,ImmE2_Ypet,ImmE2_Ypet_2
ImmE2_Ypet_3,ImmE2_Ypet,ImmE2_Ypet_3
ImmE2_NeonGreen_1,ImmE2_NeonGreen,ImmE2_NeonGreen_1
ImmE2_NeonGreen_2,ImmE2_NeonGreen,ImmE2_NeonGreen_2
ImmE2_NeonGreen_3,ImmE2_NeonGreen,ImmE2_NeonGreen_3
LB_1,LB,LB_1
LB_2,LB,LB_2
LB_3,LB,LB_3
